id,name,dish,qty,price,total,date,city
2514,Rati Borra,Rasam Rice,3,120.4,361.2,2024-09-11,Thiruvananthapuram
2515,Mahika Bhasin,Pongal,2,439.71,879.42,2025-06-05,Mysuru
2516,Prisha Issac,Neer Dosa,3,355.63,1066.89,2025-07-03,Chennai
2517,Bhavin Magar,Neer Dosa,3,470.67,1412.01,2024-09-05,Mysuru
2518,Vaibhav Bhatnagar,Sambar Rice,5,162.11,810.55,2024-10-01,Vijayawada
2519,Veer Virk,Uttapam,4,153.21,612.84,2024-11-30,Coimbatore
2520,Miraya Chaudhry,Uttapam,1,477.12,477.12,2024-08-17,Coimbatore
2521,Fateh Bail,Upma,5,108.35,541.75,2025-07-06,Coimbatore
2522,Onkar Vala,Uttapam,2,484.46,968.92,2025-02-26,Chennai
2523,Arhaan Bhardwaj,Uttapam,2,432.16,864.32,2024-08-29,Chennai
2524,Madhup Mandal,Uttapam,4,79.31,317.24,2025-02-11,Vijayawada
2525,Samarth Ranganathan,Medu Vada,3,113.07,339.21,2025-02-27,Mysuru
2526,Pranay Kata,Sambar Rice,2,279.92,559.84,2024-12-30,Vijayawada
2527,Amira Dhar,Medu Vada,4,374.83,1499.32,2024-08-24,Thiruvananthapuram
2528,Rohan Basu,Rava Dosa,4,330.66,1322.64,2025-02-20,Coimbatore
2529,Rati Mahajan,Uttapam,5,140.37,701.85,2025-06-04,Trichy
2530,Jayant Kothari,Curd Rice,4,343.37,1373.48,2025-03-16,Vijayawada
2531,Rania Gulati,Pongal,2,455.26,910.52,2025-02-09,Thiruvananthapuram
2532,Yasmin Sharma,Idli,4,204.64,818.56,2025-02-09,Vijayawada
2533,Damini Karnik,Rasam Rice,2,85.93,171.86,2024-10-05,Trichy
2534,Arnav Sibal,Medu Vada,2,130.74,261.48,2025-06-27,Mysuru
2535,Aaryahi Basu,Vada,1,447.05,447.05,2024-11-23,Vijayawada
2536,Amani Wason,Vada,1,271.68,271.68,2025-08-13,Chennai
2537,Diya Sandhu,Medu Vada,2,490.91,981.82,2024-11-10,Coimbatore
2538,Zaina Dhawan,Pongal,4,136.75,547.0,2024-08-27,Mysuru
2539,Madhup Singh,Rasam Rice,2,281.16,562.32,2024-09-03,Vijayawada
2540,Kiaan Kala,Upma,4,287.47,1149.88,2025-06-15,Mysuru
2541,Hazel Gandhi,Curd Rice,1,207.68,207.68,2024-11-23,Bengaluru
2542,Fateh Karan,Sambar Rice,5,88.23,441.15,2024-12-26,Bengaluru
2543,Dhanush Zacharia,Bisibele Bath,1,281.7,281.7,2025-06-16,Chennai
2544,Tanya Goyal,Vada,5,407.97,2039.85,2025-08-01,Bengaluru
2545,Tejas Dewan,Neer Dosa,5,78.11,390.55,2024-11-07,Trichy
2546,Anahi Shroff,Vada,3,426.36,1279.08,2024-10-18,Mysuru
2547,Lakshit Jaggi,Pongal,1,482.07,482.07,2025-05-03,Mysuru
2548,Jivika Magar,Pongal,3,188.05,564.15,2024-12-26,Hyderabad
2549,Advika Chada,Medu Vada,1,234.45,234.45,2025-04-25,Coimbatore
2550,Nehmat Karan,Idli,1,311.89,311.89,2025-07-14,Thiruvananthapuram
2551,Suhana Ravel,Pesarattu,5,181.91,909.55,2024-08-28,Chennai
2552,Hazel Basu,Rasam Rice,1,203.17,203.17,2024-12-16,Vijayawada
2553,Anaya Saini,Medu Vada,2,481.69,963.38,2025-07-21,Chennai
2554,Pari Bedi,Curd Rice,4,376.71,1506.84,2025-03-06,Hyderabad
2555,Charvi Boase,Curd Rice,2,264.61,529.22,2025-05-09,Coimbatore
2556,Zeeshan Lad,Medu Vada,5,124.86,624.3,2025-01-07,Thiruvananthapuram
2557,Rhea Chhabra,Rava Dosa,4,188.3,753.2,2024-09-12,Chennai
2558,Fateh Badami,Upma,1,467.58,467.58,2025-07-31,Chennai
2559,Alia Raju,Pesarattu,5,262.31,1311.55,2024-10-27,Thiruvananthapuram
2560,Saksham Sarna,Bisibele Bath,4,250.96,1003.84,2025-07-19,Trichy
2561,Hansh Sahni,Sambar Rice,1,331.9,331.9,2025-07-27,Coimbatore
2562,Lavanya Rajagopalan,Rava Dosa,3,205.3,615.9,2025-02-11,Mysuru
2563,Shamik Sankar,Sambar Rice,4,490.57,1962.28,2025-05-23,Vijayawada
2564,Eva Krishnan,Vada,3,56.49,169.47,2025-01-06,Trichy
2565,Drishya Sahni,Medu Vada,1,88.9,88.9,2024-08-27,Mysuru
2566,Sumer Mann,Pongal,1,282.69,282.69,2025-01-30,Trichy
2567,Himmat Konda,Uttapam,3,460.06,1380.18,2025-06-27,Hyderabad
2568,Miraya Savant,Rava Dosa,3,254.83,764.49,2025-02-16,Thiruvananthapuram
2569,Veer Ramanathan,Dosa,5,108.49,542.45,2024-12-26,Chennai
2570,Rasha Kala,Rava Dosa,4,242.26,969.04,2024-11-11,Trichy
2571,Sahil Badal,Dosa,2,460.4,920.8,2025-06-08,Mysuru
2572,Veer Dara,Curd Rice,2,387.87,775.74,2025-08-11,Thiruvananthapuram
2573,Abram Sane,Upma,4,314.69,1258.76,2024-12-04,Coimbatore
2574,Hunar Sridhar,Bisibele Bath,2,298.33,596.66,2025-05-21,Bengaluru
2575,Ayesha Chaudhari,Rasam Rice,1,360.51,360.51,2025-05-18,Coimbatore
2576,Umang Thaker,Pongal,4,262.1,1048.4,2025-07-15,Bengaluru
2577,Navya Shroff,Medu Vada,3,494.18,1482.54,2024-09-18,Thiruvananthapuram
2578,Sara Shah,Neer Dosa,5,376.56,1882.8,2024-11-20,Thiruvananthapuram
2579,Pari Cheema,Pesarattu,2,159.04,318.08,2025-04-17,Chennai
2580,Prerak Chacko,Upma,1,417.17,417.17,2025-01-28,Coimbatore
2581,Damini Bawa,Uttapam,4,191.27,765.08,2025-02-06,Hyderabad
2582,Myra Bedi,Uttapam,4,370.47,1481.88,2025-04-26,Mysuru
2583,Priyansh Kurian,Upma,1,224.43,224.43,2024-11-21,Vijayawada
2584,Zeeshan Swaminathan,Dosa,3,153.02,459.06,2024-10-04,Hyderabad
2585,Alisha Toor,Curd Rice,1,421.09,421.09,2024-12-14,Hyderabad
2586,Pranay Upadhyay,Vada,3,369.14,1107.42,2025-01-23,Thiruvananthapuram
2587,Pranay Mani,Upma,2,299.02,598.04,2025-07-16,Hyderabad
2588,Vanya Borra,Dosa,3,98.98,296.94,2024-11-03,Hyderabad
2589,Kashvi Dar,Curd Rice,3,161.97,485.91,2025-06-17,Bengaluru
2590,Nitya Devan,Pongal,1,301.44,301.44,2024-09-09,Trichy
2591,Advik Sahota,Rava Dosa,4,63.48,253.92,2024-12-07,Trichy
2592,Eva Chauhan,Uttapam,1,453.4,453.4,2024-12-12,Coimbatore
2593,Jayan Sheth,Sambar Rice,4,304.8,1219.2,2024-08-16,Trichy
2594,Raunak Swaminathan,Curd Rice,3,315.44,946.32,2025-07-25,Hyderabad
2595,Miraya Swamy,Rava Dosa,4,225.98,903.92,2025-02-19,Coimbatore
2596,Shanaya Lalla,Neer Dosa,2,436.68,873.36,2025-06-20,Trichy
2597,Amani Sabharwal,Pesarattu,5,435.08,2175.4,2025-07-16,Coimbatore
2598,Nishith Mand,Idli,4,379.63,1518.52,2025-04-15,Mysuru
2599,Hrishita Khosla,Pongal,4,277.52,1110.08,2024-10-29,Hyderabad
2600,Yakshit Kumar,Pongal,3,91.51,274.53,2025-08-04,Mysuru
2601,Hunar Som,Upma,3,476.76,1430.28,2024-08-31,Coimbatore
2602,Samarth Tara,Vada,2,61.87,123.74,2024-08-20,Coimbatore
2603,Khushi Sahota,Rava Dosa,4,473.46,1893.84,2025-08-02,Trichy
2604,Samaira Chaudhary,Upma,3,458.19,1374.57,2025-07-02,Coimbatore
2605,Yuvraj  Talwar,Pesarattu,1,125.24,125.24,2025-05-21,Hyderabad
2606,Krish Choudhry,Dosa,4,55.31,221.24,2025-06-08,Vijayawada
2607,Anvi Dave,Bisibele Bath,4,127.8,511.2,2025-06-13,Bengaluru
2608,Khushi Dugal,Upma,4,73.07,292.28,2024-12-23,Chennai
2609,Oorja Kakar,Sambar Rice,2,114.94,229.88,2025-04-11,Trichy
2610,Prerak Virk,Vada,2,465.83,931.66,2024-09-11,Hyderabad
2611,Renee Bandi,Pongal,3,483.01,1449.03,2024-09-12,Thiruvananthapuram
2612,Khushi Solanki,Upma,3,123.82,371.46,2025-07-01,Vijayawada
2613,Samarth Master,Pongal,1,89.89,89.89,2024-11-06,Vijayawada
2614,Pari Sandhu,Idli,5,380.29,1901.45,2025-03-24,Vijayawada
2615,Yuvraj  Balasubramanian,Dosa,2,441.94,883.88,2024-08-28,Hyderabad
2616,Manjari Kota,Curd Rice,5,257.08,1285.4,2024-12-08,Coimbatore
2617,Uthkarsh Edwin,Dosa,5,106.44,532.2,2025-07-26,Coimbatore
2618,Faiyaz Venkatesh,Bisibele Bath,3,371.46,1114.38,2025-02-09,Mysuru
2619,Rasha Rau,Dosa,5,190.26,951.3,2024-09-01,Coimbatore
2620,Madhup Subramanian,Uttapam,3,302.32,906.96,2025-06-04,Mysuru
2621,Vidur Bath,Dosa,2,63.13,126.26,2024-10-17,Bengaluru
2622,Shayak Dey,Bisibele Bath,1,341.11,341.11,2024-12-06,Vijayawada
2623,Dhruv Devan,Dosa,1,212.74,212.74,2025-03-22,Thiruvananthapuram
2624,Elakshi Dube,Neer Dosa,1,314.98,314.98,2025-04-15,Hyderabad
2625,Keya Sur,Dosa,1,230.9,230.9,2025-05-22,Bengaluru
2626,Kismat Baral,Bisibele Bath,1,174.65,174.65,2025-06-05,Coimbatore
2627,Suhana Dhar,Upma,2,167.92,335.84,2025-05-25,Hyderabad
2628,Sumer Thakur,Neer Dosa,3,335.66,1006.98,2024-12-01,Mysuru
2629,Samarth Chana,Rasam Rice,2,75.61,151.22,2024-08-26,Mysuru
2630,Samarth Sachar,Vada,1,467.7,467.7,2025-07-23,Chennai
2631,Baiju Bumb,Vada,2,184.3,368.6,2024-12-12,Trichy
2632,Emir Sani,Rasam Rice,3,306.87,920.61,2024-10-16,Mysuru
2633,Vivaan Thakur,Bisibele Bath,2,273.9,547.8,2025-07-05,Trichy
2634,Siya Khanna,Curd Rice,4,119.09,476.36,2025-07-07,Coimbatore
2635,Aayush Boase,Vada,4,360.24,1440.96,2025-02-25,Chennai
2636,Zeeshan Kumer,Neer Dosa,4,181.65,726.6,2024-09-29,Hyderabad
2637,Tanya Mani,Sambar Rice,2,380.98,761.96,2025-06-09,Thiruvananthapuram
2638,Rhea Karnik,Pongal,3,83.97,251.91,2025-08-13,Bengaluru
2639,Yashvi Barad,Curd Rice,2,318.11,636.22,2024-11-20,Chennai
2640,Tejas Barad,Pongal,3,244.33,732.99,2025-05-22,Trichy
2641,Gatik Sinha,Pesarattu,3,61.94,185.82,2025-06-23,Vijayawada
2642,Ivan Shanker,Idli,2,379.05,758.1,2024-09-09,Trichy
2643,Kimaya Krishna,Vada,2,68.64,137.28,2025-02-23,Vijayawada
2644,Romil Bath,Rava Dosa,1,464.52,464.52,2025-02-07,Mysuru
2645,Faiyaz Borde,Pesarattu,4,274.06,1096.24,2024-08-16,Vijayawada
2646,Uthkarsh Comar,Neer Dosa,4,102.1,408.4,2025-07-25,Thiruvananthapuram
2647,Neelofar Sachdeva,Vada,4,377.6,1510.4,2025-01-19,Thiruvananthapuram
2648,Kartik Rau,Rasam Rice,5,383.97,1919.85,2025-06-21,Trichy
2649,Fateh Kar,Idli,2,267.14,534.28,2024-10-01,Trichy
2650,Dharmajan Sur,Dosa,2,365.41,730.82,2024-12-17,Hyderabad
2651,Rasha Kata,Uttapam,2,108.13,216.26,2025-03-31,Mysuru
2652,Priyansh Sethi,Bisibele Bath,3,97.43,292.29,2025-01-15,Coimbatore
2653,Divij Srinivasan,Idli,1,101.05,101.05,2025-07-27,Trichy
2654,Shlok Lalla,Uttapam,5,366.17,1830.85,2024-12-01,Thiruvananthapuram
2655,Jivin Ramaswamy,Uttapam,5,239.99,1199.95,2024-10-12,Bengaluru
2656,Tejas Sarraf,Bisibele Bath,1,488.95,488.95,2025-02-19,Mysuru
2657,Neelofar Shere,Curd Rice,1,210.36,210.36,2025-04-07,Bengaluru
2658,Tanya Aggarwal,Uttapam,2,455.67,911.34,2025-02-22,Coimbatore
2659,Jayan Chandra,Idli,1,280.93,280.93,2024-12-11,Chennai
2660,Manikya Ramachandran,Dosa,4,386.56,1546.24,2024-11-19,Trichy
2661,Riaan Saxena,Neer Dosa,3,349.02,1047.06,2025-03-22,Trichy
2662,Aniruddh Kurian,Rasam Rice,4,136.28,545.12,2025-01-15,Vijayawada
2663,Miraya Gokhale,Neer Dosa,3,282.9,848.7,2025-05-06,Coimbatore
2664,Oorja Dutt,Vada,1,297.75,297.75,2025-03-05,Vijayawada
2665,Shray Anne,Vada,5,136.01,680.05,2024-12-19,Chennai
2666,Dharmajan Sura,Rasam Rice,1,152.97,152.97,2025-03-22,Bengaluru
2667,Zoya Choudhary,Vada,4,159.09,636.36,2025-04-17,Mysuru
2668,Myra Brar,Curd Rice,3,430.24,1290.72,2025-04-07,Coimbatore
2669,Hridaan Bobal,Vada,1,443.32,443.32,2024-11-13,Chennai
2670,Mishti Kadakia,Medu Vada,2,336.96,673.92,2024-08-29,Thiruvananthapuram
2671,Jayesh Mander,Vada,4,243.98,975.92,2025-01-04,Coimbatore
2672,Samar Saraf,Uttapam,1,69.65,69.65,2025-01-24,Trichy
2673,Adira Babu,Medu Vada,4,426.94,1707.76,2024-09-19,Thiruvananthapuram
2674,Lakshit Bumb,Bisibele Bath,2,176.08,352.16,2025-05-30,Mysuru
2675,Aayush Upadhyay,Bisibele Bath,4,196.33,785.32,2025-04-02,Bengaluru
2676,Taran Lanka,Bisibele Bath,1,281.96,281.96,2024-10-11,Chennai
2677,Sumer Lanka,Uttapam,1,440.96,440.96,2024-12-06,Hyderabad
2678,Onkar Agate,Neer Dosa,4,77.3,309.2,2024-12-14,Hyderabad
2679,Tanya Andra,Pongal,5,156.2,781.0,2025-04-09,Bengaluru
2680,Eva Ganesan,Upma,2,52.57,105.14,2025-06-20,Coimbatore
2681,Madhav Doshi,Rava Dosa,3,451.91,1355.73,2025-06-24,Vijayawada
2682,Mohanlal Gera,Pongal,1,286.52,286.52,2024-10-21,Hyderabad
2683,Samar De,Pongal,2,203.1,406.2,2025-04-27,Thiruvananthapuram
2684,Vaibhav Sem,Rava Dosa,5,293.56,1467.8,2025-07-19,Bengaluru
2685,Nirvaan Sinha,Rava Dosa,1,113.93,113.93,2025-07-25,Hyderabad
2686,Saksham Venkatesh,Dosa,2,402.81,805.62,2025-02-18,Chennai
2687,Amira Bal,Sambar Rice,4,333.08,1332.32,2024-12-21,Mysuru
2688,Akarsh Koshy,Dosa,1,265.82,265.82,2024-12-29,Thiruvananthapuram
2689,Nakul Tailor,Bisibele Bath,2,472.58,945.16,2024-08-14,Coimbatore
2690,Khushi Gola,Pesarattu,1,250.43,250.43,2025-03-29,Bengaluru
2691,Gokul Chacko,Vada,1,486.18,486.18,2024-11-05,Thiruvananthapuram
2692,Gatik Soman,Upma,5,174.69,873.45,2024-10-24,Thiruvananthapuram
2693,Nirvaan Sunder,Sambar Rice,3,56.5,169.5,2025-01-27,Coimbatore
2694,Trisha Zacharia,Rasam Rice,2,248.07,496.14,2025-05-21,Thiruvananthapuram
2695,Arnav Bansal,Pesarattu,1,135.74,135.74,2025-06-02,Trichy
2696,Jivika Sawhney,Vada,4,63.44,253.76,2024-12-14,Thiruvananthapuram
2697,Oorja Kuruvilla,Medu Vada,1,176.92,176.92,2024-11-07,Chennai
2698,Shamik Hayre,Rava Dosa,2,368.51,737.02,2025-02-04,Mysuru
2699,Ira Bassi,Dosa,2,320.31,640.62,2024-10-29,Chennai
2700,Shayak Mander,Sambar Rice,1,191.76,191.76,2025-05-03,Coimbatore
2701,Mohanlal Balan,Vada,5,216.52,1082.6,2025-04-20,Vijayawada
2702,Hrishita Warrior,Vada,5,273.53,1367.65,2025-06-16,Trichy
2703,Tejas Khatri,Rasam Rice,2,209.38,418.76,2024-08-31,Mysuru
2704,Vritika Comar,Dosa,1,144.87,144.87,2025-08-04,Bengaluru
2705,Aniruddh D’Alia,Sambar Rice,2,334.91,669.82,2025-07-15,Hyderabad
2706,Tara Atwal,Idli,2,329.17,658.34,2025-03-05,Vijayawada
2707,Ishaan Sem,Sambar Rice,3,251.27,753.81,2024-09-27,Chennai
2708,Yasmin Kata,Upma,5,68.1,340.5,2025-03-16,Thiruvananthapuram
2709,Suhana Datta,Upma,3,159.04,477.12,2025-08-06,Vijayawada
2710,Baiju Sandal,Uttapam,4,207.05,828.2,2025-07-19,Coimbatore
2711,Damini Dara,Idli,3,383.88,1151.64,2025-02-22,Vijayawada
2712,Khushi Bhatti,Pongal,3,356.42,1069.26,2024-08-15,Hyderabad
2713,Abram Bhatia,Dosa,2,476.15,952.3,2024-12-22,Mysuru
2714,Mamooty Bera,Dosa,3,379.65,1138.95,2025-05-02,Hyderabad
2715,Heer Sane,Curd Rice,5,151.04,755.2,2025-03-23,Coimbatore
2716,Ehsaan Hegde,Sambar Rice,4,365.58,1462.32,2025-04-17,Hyderabad
2717,Gokul Desai,Dosa,3,441.71,1325.13,2025-02-24,Hyderabad
2718,Faiyaz Dubey,Neer Dosa,2,466.11,932.22,2025-07-01,Chennai
2719,Devansh Reddy,Medu Vada,2,491.22,982.44,2024-12-31,Thiruvananthapuram
2720,Adira Agrawal,Rava Dosa,5,437.59,2187.95,2025-04-15,Bengaluru
2721,Anay Mani,Rava Dosa,1,351.3,351.3,2025-02-12,Chennai
2722,Krish Sami,Bisibele Bath,3,63.84,191.52,2025-06-15,Coimbatore
2723,Onkar Baria,Rasam Rice,2,258.26,516.52,2025-07-19,Chennai
2724,Jayan Datta,Pesarattu,1,98.66,98.66,2024-11-30,Trichy
2725,Suhana Kashyap,Rasam Rice,3,499.69,1499.07,2025-05-21,Vijayawada
2726,Pari Gopal,Neer Dosa,2,259.83,519.66,2024-11-06,Bengaluru
2727,Zeeshan Baral,Vada,2,88.81,177.62,2024-12-21,Coimbatore
2728,Heer Kadakia,Dosa,3,200.39,601.17,2024-12-14,Trichy
2729,Dishani Ramaswamy,Bisibele Bath,4,216.42,865.68,2024-12-15,Hyderabad
2730,Jhanvi Rama,Rava Dosa,1,346.67,346.67,2025-07-06,Vijayawada
2731,Hansh Sridhar,Dosa,3,254.32,762.96,2025-05-16,Hyderabad
2732,Lakshay Garg,Bisibele Bath,2,465.82,931.64,2025-05-02,Chennai
2733,Sara Bajwa,Pongal,2,140.6,281.2,2025-05-04,Coimbatore
2734,Yakshit Bhasin,Vada,2,158.15,316.3,2025-07-28,Mysuru
2735,Shray Korpal,Pesarattu,3,131.82,395.46,2024-10-16,Mysuru
2736,Bhavin Kapoor,Pongal,4,301.04,1204.16,2025-01-29,Mysuru
2737,Veer Garde,Upma,2,177.88,355.76,2025-02-01,Coimbatore
2738,Jivika Anne,Rasam Rice,5,386.26,1931.3,2025-07-28,Hyderabad
2739,Nehmat Tailor,Medu Vada,5,370.32,1851.6,2024-11-21,Vijayawada
2740,Jhanvi Mangat,Idli,5,381.49,1907.45,2024-09-06,Thiruvananthapuram
2741,Hansh Walla,Medu Vada,1,445.68,445.68,2025-04-05,Chennai
2742,Ayesha Kibe,Uttapam,3,114.0,342.0,2025-01-25,Hyderabad
2743,Yashvi Tella,Dosa,1,398.41,398.41,2024-10-25,Mysuru
2744,Kaira Goda,Sambar Rice,3,121.49,364.47,2024-08-19,Mysuru
2745,Rhea Rajagopalan,Pesarattu,1,326.14,326.14,2025-07-21,Hyderabad
2746,Ojas Dugar,Vada,1,194.0,194.0,2025-05-23,Hyderabad
2747,Priyansh Shah,Dosa,5,374.71,1873.55,2025-01-13,Mysuru
2748,Suhana Gulati,Curd Rice,4,172.91,691.64,2024-10-20,Hyderabad
2749,Gatik Dani,Bisibele Bath,3,144.66,433.98,2024-12-30,Vijayawada
2750,Emir Sachdev,Pesarattu,1,195.03,195.03,2024-10-30,Chennai
2751,Diya Loyal,Bisibele Bath,3,405.31,1215.93,2025-05-14,Chennai
2752,Drishya Mani,Sambar Rice,5,173.63,868.15,2025-05-14,Thiruvananthapuram
2753,Charvi Chaudhary,Pongal,4,96.97,387.88,2025-05-20,Bengaluru
2754,Rania Char,Rava Dosa,1,463.85,463.85,2025-03-29,Trichy
2755,Aaina Bali,Pesarattu,1,244.34,244.34,2024-09-13,Coimbatore
2756,Nirvi Dey,Pongal,5,217.87,1089.35,2025-03-02,Bengaluru
2757,Madhav Basu,Rasam Rice,3,385.19,1155.57,2025-08-03,Chennai
2758,Urvi Lanka,Pongal,2,156.87,313.74,2024-11-10,Hyderabad
2759,Kashvi Buch,Medu Vada,5,205.59,1027.95,2024-10-01,Mysuru
2760,Mamooty Dyal,Upma,3,306.54,919.62,2025-07-04,Mysuru
2761,Sahil Agarwal,Idli,2,106.99,213.98,2024-09-17,Coimbatore
2762,Neysa Choudhary,Idli,5,440.71,2203.55,2025-02-05,Chennai
2763,Ivana Srivastava,Uttapam,5,96.23,481.15,2025-02-19,Mysuru
2764,Shanaya Sengupta,Dosa,1,208.68,208.68,2025-05-26,Hyderabad
2765,Taimur Kar,Rasam Rice,3,376.69,1130.07,2025-06-14,Coimbatore
2766,Vedika Savant,Vada,1,80.56,80.56,2025-05-01,Trichy
2767,Pranay Bhalla,Idli,2,487.76,975.52,2025-04-02,Mysuru
2768,Kiara Sawhney,Pesarattu,1,386.12,386.12,2025-07-27,Thiruvananthapuram
2769,Gokul Apte,Neer Dosa,3,473.19,1419.57,2025-01-03,Bengaluru
2770,Aradhya Lall,Idli,2,474.54,949.08,2025-05-24,Hyderabad
2771,Uthkarsh Sengupta,Idli,5,95.75,478.75,2024-09-30,Vijayawada
2772,Tarini Zacharia,Pesarattu,5,346.78,1733.9,2025-05-25,Trichy
2773,Kavya Bala,Medu Vada,2,61.04,122.08,2025-05-29,Coimbatore
2774,Armaan Mannan,Vada,2,451.45,902.9,2024-12-17,Mysuru
2775,Bhamini Chhabra,Rasam Rice,2,133.11,266.22,2024-09-03,Trichy
2776,Hrishita Yadav,Neer Dosa,1,309.58,309.58,2024-09-16,Hyderabad
2777,Anaya Sarkar,Uttapam,5,459.86,2299.3,2025-01-19,Coimbatore
2778,Azad Anand,Curd Rice,3,167.8,503.4,2025-01-20,Mysuru
2779,Nirvaan Ramachandran,Pesarattu,3,334.56,1003.68,2025-04-09,Thiruvananthapuram
2780,Priyansh Mahal,Idli,2,468.94,937.88,2024-12-25,Vijayawada
2781,Tanya Chokshi,Pongal,3,110.71,332.13,2024-10-30,Mysuru
2782,Ela Varughese,Idli,5,210.14,1050.7,2024-10-04,Vijayawada
2783,Tiya Soman,Upma,3,303.68,911.04,2025-05-31,Mysuru
2784,Ivan Bail,Uttapam,5,127.9,639.5,2025-01-28,Hyderabad
2785,Aarav Lall,Curd Rice,5,119.25,596.25,2025-04-21,Hyderabad
2786,Reyansh Randhawa,Medu Vada,4,293.84,1175.36,2024-12-07,Mysuru
2787,Indranil De,Pesarattu,4,492.89,1971.56,2024-12-06,Mysuru
2788,Aniruddh Bandi,Curd Rice,1,80.35,80.35,2025-01-19,Chennai
2789,Diya Mammen,Idli,5,384.33,1921.65,2024-10-15,Coimbatore
2790,Jhanvi Viswanathan,Sambar Rice,4,390.79,1563.16,2025-02-19,Mysuru
2791,Raghav Som,Neer Dosa,3,237.62,712.86,2025-07-05,Trichy
2792,Renee Lala,Pongal,4,152.79,611.16,2024-08-15,Trichy
2793,Nehmat Sangha,Uttapam,2,175.77,351.54,2024-11-26,Bengaluru
2794,Ayesha Ramaswamy,Idli,4,263.16,1052.64,2025-02-10,Mysuru
2795,Gokul Kamdar,Rasam Rice,5,86.08,430.4,2024-10-23,Vijayawada
2796,Madhav Toor,Medu Vada,2,316.13,632.26,2024-11-18,Mysuru
2797,Kabir Dua,Dosa,3,426.14,1278.42,2025-01-01,Chennai
2798,Chirag Chatterjee,Pongal,3,374.49,1123.47,2025-04-06,Bengaluru
2799,Alisha Shroff,Upma,1,61.58,61.58,2024-08-27,Coimbatore
2800,Vihaan Bawa,Dosa,4,364.49,1457.96,2024-10-13,Bengaluru
2801,Yashvi Halder,Neer Dosa,1,210.28,210.28,2025-04-15,Bengaluru
2802,Anika Samra,Dosa,3,234.29,702.87,2024-10-30,Bengaluru
2803,Renee Kari,Vada,4,222.44,889.76,2024-08-25,Trichy
2804,Vihaan Gandhi,Neer Dosa,3,297.97,893.91,2025-06-08,Vijayawada
2805,Kabir Ganguly,Rasam Rice,3,386.87,1160.61,2025-01-31,Vijayawada
2806,Zara Arya,Pongal,3,125.51,376.53,2024-12-22,Hyderabad
2807,Diya Chawla,Bisibele Bath,5,465.65,2328.25,2025-04-29,Coimbatore
2808,Umang Seshadri,Sambar Rice,5,98.3,491.5,2025-01-06,Thiruvananthapuram
2809,Veer Shanker,Dosa,3,318.04,954.12,2025-01-24,Hyderabad
2810,Aarna Dixit,Dosa,4,370.51,1482.04,2025-02-14,Bengaluru
2811,Rania Chokshi,Rava Dosa,1,413.46,413.46,2024-10-27,Trichy
2812,Nitya Borra,Dosa,4,113.19,452.76,2025-05-23,Coimbatore
2813,Aaryahi Kalla,Pesarattu,1,317.24,317.24,2025-08-05,Chennai
2814,Pihu Uppal,Medu Vada,1,394.15,394.15,2025-05-14,Thiruvananthapuram
2815,Ivana Acharya,Rava Dosa,5,414.1,2070.5,2024-12-13,Trichy
2816,Mannat Devi,Pesarattu,2,472.6,945.2,2025-02-03,Chennai
2817,Ojas Chandra,Dosa,5,202.75,1013.75,2024-10-04,Chennai
2818,Rati Dixit,Pongal,1,474.89,474.89,2024-10-16,Trichy
2819,Lagan Buch,Bisibele Bath,5,339.4,1697.0,2025-03-08,Trichy
2820,Shray Chada,Pongal,1,309.94,309.94,2025-08-11,Mysuru
2821,Stuvan Lall,Pesarattu,1,167.53,167.53,2025-02-13,Hyderabad
2822,Nirvi Comar,Neer Dosa,2,245.36,490.72,2024-10-02,Hyderabad
2823,Anahi Master,Uttapam,4,211.5,846.0,2024-09-02,Coimbatore
2824,Zaina Jaggi,Rava Dosa,4,298.18,1192.72,2025-08-10,Coimbatore
2825,Inaaya  Saha,Neer Dosa,3,434.49,1303.47,2025-03-18,Vijayawada
2826,Zaina Sabharwal,Pongal,2,465.66,931.32,2025-03-23,Bengaluru
2827,Prisha Choudhary,Curd Rice,2,81.77,163.54,2025-01-29,Hyderabad
2828,Prisha Kumar,Neer Dosa,3,191.95,575.85,2024-10-18,Mysuru
2829,Stuvan Korpal,Rava Dosa,5,480.44,2402.2,2025-05-21,Thiruvananthapuram
2830,Biju Subramanian,Pongal,2,453.26,906.52,2025-04-18,Vijayawada
2831,Aaryahi Kuruvilla,Curd Rice,1,325.56,325.56,2025-07-14,Trichy
2832,Divij Sha,Vada,2,63.96,127.92,2024-11-18,Mysuru
2833,Bhavin Sodhi,Uttapam,4,463.3,1853.2,2024-11-08,Thiruvananthapuram
2834,Kimaya Chaudry,Sambar Rice,1,266.18,266.18,2025-02-12,Thiruvananthapuram
2835,Gatik Goyal,Sambar Rice,4,455.92,1823.68,2024-12-27,Chennai
2836,Misha Gulati,Pesarattu,1,142.42,142.42,2025-01-22,Mysuru
2837,Faiyaz Bava,Idli,3,170.33,510.99,2025-02-03,Chennai
2838,Arhaan Bhakta,Pesarattu,1,415.34,415.34,2025-06-09,Hyderabad
2839,Renee Upadhyay,Medu Vada,2,185.98,371.96,2024-09-19,Mysuru
2840,Ritvik Contractor,Sambar Rice,5,402.6,2013.0,2024-09-08,Chennai
2841,Romil Vyas,Rava Dosa,2,147.59,295.18,2024-09-13,Mysuru
2842,Chirag Saha,Sambar Rice,5,178.1,890.5,2024-08-18,Vijayawada
